"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.415146467E0,-1.454836130E0,9.447162628E0,-2.081456661E0
2.434489852E0,-1.758724689E0,9.475876808E0,-2.110170364E0
2.453833238E0,-1.464407444E0,9.116953850E0,-1.739282966E0
2.473176571E0,-1.038485050E0,8.963812828E0,-1.617249012E0
2.492519956E0,-1.404586911E0,9.607481956E0,-2.406880379E0
2.511863290E0,-1.842473388E0,9.755837440E0,-2.330310106E0
2.531206675E0,-9.643075466E-1,9.279664993E0,-1.251147151E0
2.550550061E0,-7.465606928E-1,9.238986969E0,-1.047757268E0
2.569893394E0,-5.503492355E-1,9.461520195E0,-2.016850471E0
2.589236779E0,-9.954141974E-1,9.406484604E0,-2.973979473E0
2.608580113E0,-1.928615093E0,9.167202950E0,-2.428415775E0
2.627923498E0,-1.495514154E0,9.078668594E0,-1.940280080E0
2.647266883E0,-4.474578202E-1,9.341878891E0,-1.775175333E0
2.666610217E0,-2.321037948E-1,9.581160545E0,-1.846959949E0
2.685953602E0,-8.805587292E-1,9.736694336E0,-2.933301449E0
2.705296936E0,-1.902294040E0,9.198308945E0,-3.572185040E0
2.724640321E0,-2.206182480E0,8.970991135E0,-3.440579891E0
2.743983706E0,-1.727617979E0,9.093025208E0,-3.119941711E0
2.763327040E0,-1.146162033E0,9.186345100E0,-2.744268417E0
2.782670425E0,-7.274180651E-1,9.456734657E0,-2.579163790E0
2.802013758E0,-8.183453679E-1,9.337093353E0,-2.380559444E0
2.821357144E0,-1.036092162E0,9.301200867E0,-2.208276272E0
2.840700477E0,-1.184447169E0,9.200701714E0,-2.732304335E0
2.860043863E0,-1.055234790E0,9.057132721E0,-2.777767897E0
2.879387196E0,-1.282552958E0,9.133703232E0,-2.232204437E0
2.898730581E0,-1.229910851E0,9.430413246E0,-2.603091955E0
2.918073967E0,-9.595218897E-1,9.375378609E0,-3.033800125E0
2.937417300E0,-9.092726111E-1,9.100203514E0,-2.837588549E0
2.956760686E0,-1.167697430E0,9.195916176E0,-2.289632082E0
2.976104019E0,-1.167697430E0,9.372985840E0,-2.363809586E0
2.995447404E0,-8.614161611E-1,9.265308380E0,-2.380559444E0
3.014790738E0,-8.087740541E-1,9.231808662E0,-2.648555517E0
3.034134123E0,-1.347159147E0,9.222237587E0,-2.643769979E0
3.053477456E0,-1.713261008E0,9.162417412E0,-2.540878534E0
3.072820842E0,-1.914258122E0,9.085846901E0,-2.557628393E0
3.092164175E0,-1.598405480E0,9.140881538E0,-2.569592476E0
3.111507561E0,-1.287338614E0,9.356235504E0,-2.787339211E0
3.130850894E0,-9.451649189E-1,9.444769859E0,-2.801696301E0
3.150194279E0,-1.356730461E0,9.167202950E0,-2.612663269E0
3.169537613E0,-1.246660590E0,9.250951767E0,-2.414058924E0
3.188880998E0,-1.150947690E0,9.461520195E0,-2.739482880E0
3.208224331E0,-1.351944804E0,9.274879456E0,-2.591127872E0
3.227567717E0,-1.567298889E0,8.913563728E0,-2.638984203E0
3.246911050E0,-1.450050473E0,8.846564293E0,-2.969193697E0
3.266254436E0,-1.794616938E0,8.994919777E0,-2.787339211E0
3.285597769E0,-2.330609322E0,8.786744118E0,-2.569592476E0
3.304941154E0,-2.589034081E0,8.954241753E0,-2.516950369E0
3.324284488E0,-2.816352367E0,8.966205597E0,-2.215454578E0
3.343627873E0,-2.766103029E0,9.104989052E0,-2.978765011E0
3.362971206E0,-3.156133175E0,8.992527008E0,-2.638984203E0
3.382314592E0,-3.249453068E0,8.434998512E0,-2.342274189E0
3.401657925E0,-3.199203968E0,8.310571671E0,-2.619841576E0
3.421001311E0,-3.113062143E0,8.700602531E0,-2.674876690E0
3.440344644E0,-3.165704250E0,9.148059845E0,-2.835195780E0
3.459688029E0,-3.895515203E0,8.963812828E0,-2.804089069E0
3.479031363E0,-4.398007870E0,8.523533821E0,-2.813660383E0
3.498374696E0,-3.917050600E0,8.683852196E0,-2.818445921E0
3.517718081E0,-3.058027267E0,9.212666512E0,-2.962015390E0
3.537061415E0,-2.813959360E0,9.317950249E0,-3.026621580E0
