Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
11.13899048,-5.14456892,8.353643417,-2.593520641
11.15833376,-4.493721008,8.822636604,-2.911766052
11.17767709,-2.246860504,8.966205597,-3.495614767
11.19702037,0.770488918,9.444769859,-2.985943556
11.21636371,2.854637384,9.624231339,-2.112563372
11.23570699,2.98863554,9.389735222,-2.033600092
11.25505032,0.930808008,9.358628273,-1.63639164
11.2743936,-1.80658114,9.303593636,-2.095813513
11.29373694,-3.263810158,9.277272224,-2.375773668
11.31308027,-2.400001049,9.480662346,-2.7059834
11.33242355,-0.983450115,9.925727844,-2.7059834
11.35176688,-0.667597532,10.3971138,-3.139084101
11.37111017,-1.189232826,10.78235817,-3.61764884
11.3904535,-0.622133911,10.80150032,-2.957229614
11.40979678,0.011964113,10.77757263,-2.124527454
11.42914011,0.232103795,10.77039337,-1.878066659
11.44848345,0.89491564,10.76321507,-1.976172447
11.46782673,1.112662554,10.96660519,-1.789532185
11.48717006,0.086141616,11.74905872,-2.380559444
11.50651334,-0.79920274,14.34048557,-4.280460835
11.52585668,-2.194218397,16.24995804,-5.08684206
